name,link,author,rating,language,genre,chapters,words,reviews,favs,follows,updated,published,characters,complete
Aura: The Last Airbender,https://www.fanfiction.net/s/9281888/1/Aura-The-Last-Airbender,awsmpup,T,English,Romance/Humor,4,22316,152,325,353,10/9/2017,5/10/2013,"Aang, Zuko, unknown 9",False
Decisions Made,https://www.fanfiction.net/s/9538743/1/Decisions-Made,ineresting1,M,English,Romance/Friendship,54,138607,410,325,379,3/28/2016,7/28/2013,"Ty Lee, Azula",False
What It Is To Burn,https://www.fanfiction.net/s/4696310/1/What-It-Is-To-Burn,SkyWarrior108,T,English,Drama/Adventure,39,89342,333,326,279,7/15/2010,12/4/2008,Azula,False
Year One,https://www.fanfiction.net/s/5631494/1/Year-One,peroxidepest17,K+,English,Drama,1,4038,40,325,32,,1/1/2010,Zuko,True
The Actions of Children,https://www.fanfiction.net/s/10688717/1/The-Actions-of-Children,New-and-possibly-improved,M,English,Adventure/Angst,29,145472,129,324,482,3/17,9/13/2014,"[Zuko, Katara] Iroh, unknown 9",False
Borderlines,https://www.fanfiction.net/s/4540314/1/Borderlines,Scuttlebutt Inc,T,English,Romance/Humor,15,68128,101,323,82,1/19/2009,9/15/2008,"Sokka, Zuko",True
The Turning Point,https://www.fanfiction.net/s/4008115/1/The-Turning-Point,Mistress of Sarcasm,K+,English,Family,1,1291,54,323,45,,1/12/2008,Toph,True
"Ember, Ash, and Kindling",https://www.fanfiction.net/s/7237964/1/Ember-Ash-and-Kindling,Rebecca Hb,T,English,Drama/Adventure,16,43345,125,322,195,5/30/2012,7/31/2011,"Zuko, Mai",True
The Final Scar,https://www.fanfiction.net/s/3377521/1/The-Final-Scar,E. A. Fleming,M,English,Drama/Romance,15,36376,273,321,251,9/3/2010,2/4/2007,"Zuko, Katara",True
Farther Away,https://www.fanfiction.net/s/6150838/1/Farther-Away,AzarDarkstar,K+,English,Family/Hurt/Comfort,1,551,27,320,49,,7/17/2010,"Iroh, Zuko",True
The Alternative,https://www.fanfiction.net/s/6780769/1/The-Alternative,Lunatique,K+,English,Drama,1,2861,32,320,57,,2/26/2011,"Zuko, Iroh",True
Passages,https://www.fanfiction.net/s/2981622/1/Passages,ardy1,T,English,Adventure/Humor,31,81494,411,319,328,3/10/2009,6/8/2006,"Sokka, Zuko",False
Season One Remix: Shirtless Zuko Style,https://www.fanfiction.net/s/3038194/1/Season-One-Remix-Shirtless-Zuko-Style,Jakia,M,English,Parody/Humor,1,1905,178,319,50,,7/10/2006,Zuko,True
Coming of Age,https://www.fanfiction.net/s/8829169/1/Coming-of-Age,Like A Dove,M,English,Romance/Humor,1,3214,53,319,52,,12/24/2012,"Katara, Zuko",True
Fruits of Passion,https://www.fanfiction.net/s/3363632/1/Fruits-of-Passion,avatarfan16,T,English,Romance/Humor,12,57315,301,319,139,7/17/2008,1/27/2007,"Toph, Aang",True
Memory of a Moment,https://www.fanfiction.net/s/6081445/1/Memory-of-a-Moment,AurigaCapella,T,English,Romance,30,72634,508,318,167,9/16/2010,6/24/2010,"Katara, Zuko",True
SunChild,https://www.fanfiction.net/s/5580598/1/SunChild,Weirdlet,T,English,Family,24,29245,109,319,314,3/9/2012,12/14/2009,Zuko,False
Little Zuko v the World,https://www.fanfiction.net/s/13223980/1/Little-Zuko-v-the-World,MuffinLance,T,English,Adventure/Humor,29,81572,442,317,412,6/22,3/3,Zuko,False
Night Terrors,https://www.fanfiction.net/s/8122346/1/Night-Terrors,Ergo-Awesome,T,English,Drama/Hurt/Comfort,1,3329,38,316,63,,5/16/2012,"Zuko, Ozai",True
Insight,https://www.fanfiction.net/s/6013305/1/Insight,BMT and SuperMoose,K,English,Friendship,1,1585,46,315,34,,5/31/2010,"Toph, Zuko",True
Kindred,https://www.fanfiction.net/s/3105536/1/Kindred,Vicki So,M,English,Romance/Angst,3,8108,79,315,91,,8/14/2006,"Zuko, Azula",True
Lightning & Flame,https://www.fanfiction.net/s/5722576/1/Lightning-Flame,funvince,T,English,Drama/Family,11,46818,315,314,332,12/5/2010,2/6/2010,"Azula, Zuko",False
Grandfather and Daughter,https://www.fanfiction.net/s/9364520/1/Grandfather-and-Daughter,NeleX,T,English,Drama/Family,1,5527,44,313,66,,6/6/2013,"Ursa, Azulon",True
Grounded,https://www.fanfiction.net/s/7952039/1/Grounded,Danny Phantom SG-1,K+,English,Angst/Hurt/Comfort,1,2931,48,312,43,,3/23/2012,"Toph, Zuko",True
Golden Wolf Warrior,https://www.fanfiction.net/s/6117846/1/Golden-Wolf-Warrior,AgentAyu,T,English,Adventure/Romance,18,78741,252,311,260,1/11/2012,7/6/2010,"Katara, Azula",False
Memento Mori,https://www.fanfiction.net/s/5432322/1/Memento-Mori,northno.3,T,English,Drama/Romance,19,105417,268,311,363,1/8/2015,10/10/2009,"Ty Lee, Azula",True
You're My Brother,https://www.fanfiction.net/s/7215164/1/You-re-My-Brother,LifeAnomaly,K+,English,Hurt/Comfort/Family,1,2435,37,311,70,,7/24/2011,"Zuko, Sokka",True
Big Changes,https://www.fanfiction.net/s/7265285/1/Big-Changes,Em Dixon,K,English,Humor/Family,1,938,62,310,40,,8/8/2011,"Zuko, Katara",True
The Ho'Wan Island Carnival,https://www.fanfiction.net/s/2653834/1/The-Ho-Wan-Island-Carnival,Vicki So,T,English,Romance,7,19207,172,311,56,11/17/2005,11/9/2005,,True
The Fire in Your Eyes,https://www.fanfiction.net/s/9636219/1/The-Fire-in-Your-Eyes,Twilit Phoenix,M,English,,19,106343,249,310,185,12/25/2013,8/27/2013,"Zuko, Katara",True
The Trouble with Fire,https://www.fanfiction.net/s/11180185/1/The-Trouble-with-Fire,XamandaluvsyaX,T,English,Romance/Fantasy,24,71235,118,310,233,9/30/2016,4/12/2015,"[Zuko, OC]",True
So We'd Both Be Free,https://www.fanfiction.net/s/11061232/1/So-We-d-Both-Be-Free,the savage barbie,M,English,Angst/Tragedy,1,7267,57,310,32,,2/20/2015,Azula,True
To Muse on Parenthood,https://www.fanfiction.net/s/6536049/1/To-Muse-on-Parenthood,Singer of Time,T,English,Humor/Family,30,124723,233,309,106,9/26/2011,12/6/2010,"Aang, Katara",True
Three Families,https://www.fanfiction.net/s/7197056/1/Three-Families,James Golen,T,English,Adventure/Supernatural,61,1236700,390,309,224,12/5/2013,7/19/2011,"Aang, Azula",True
A Change of Heart,https://www.fanfiction.net/s/6239150/1/A-Change-of-Heart,zutara4eva21,M,English,Romance,36,81294,712,309,300,7/20/2012,8/14/2010,"Zuko, Katara",False
All Fall Down,https://www.fanfiction.net/s/8619636/1/All-Fall-Down,DJNS,M,English,Angst/Tragedy,32,135769,457,309,119,11/29/2012,10/17/2012,"Aang, Toph",True
WRITING IN WATER Book 1: The Waterbender's Scroll,https://www.fanfiction.net/s/8388665/1/WRITING-IN-WATER-Book-1-The-Waterbender-s-Scroll,greeneyes117,T,English,Romance/Angst,97,674110,679,310,207,6/18/2014,8/3/2012,"[Aang, Katara] unknown 9",True
Blackout,https://www.fanfiction.net/s/6207503/1/Blackout,AvaMcKenna,T,English,Adventure/Romance,40,107307,236,309,145,10/2/2011,8/4/2010,"Zuko, OC",True
Lessons in Disasters,https://www.fanfiction.net/s/3742707/1/Lessons-in-Disasters,xcgirl08,K+,English,Romance/Humor,1,7149,75,307,40,,8/23/2007,"Aang, Toph",True
Zuko's Cold Dream,https://www.fanfiction.net/s/5799966/1/Zuko-s-Cold-Dream,cherryflowerblossoms,M,English,Romance/Suspense,1,4427,59,306,64,5/6/2010,3/7/2010,"[Zuko, Katara]",True
Stand by Me,https://www.fanfiction.net/s/10465792/1/Stand-by-Me,OurBeatingHeartsBleed,M,English,Adventure/Romance,26,99311,152,306,124,8/20/2014,6/18/2014,"[Zuko, Katara] Zhao, Ozai",True
Tremors,https://www.fanfiction.net/s/6652436/1/Tremors,alli-sun,K+,English,Romance/Humor,1,2169,55,305,35,,1/14/2011,"Toph, Zuko",True
A Good Plan,https://www.fanfiction.net/s/6295257/1/A-Good-Plan,alwaysZutarian,M,English,Romance/Humor,2,10221,105,305,67,9/10/2010,9/3/2010,"[Zuko, Katara]",True
The Descent,https://www.fanfiction.net/s/8793680/1/The-Descent,chromeknickers,T,English,Hurt/Comfort/Angst,7,31942,125,305,98,7/31/2014,12/13/2012,"[Katara, Zuko]",True
Kiss,https://www.fanfiction.net/s/3163583/1/Kiss,Beacon,K+,English,Romance/Humor,1,1135,132,304,43,,9/21/2006,"Zuko, Katara",True
The Path Ahead,https://www.fanfiction.net/s/3939478/1/The-Path-Ahead,Liselle129,T,English,Romance,46,151027,519,304,141,2/26/2010,12/10/2007,"Katara, Aang",True
They Met on the Internet,https://www.fanfiction.net/s/9839567/1/They-Met-on-the-Internet,TheRoseyOne,M,English,Romance/Drama,76,175602,668,303,263,11/10/2015,11/11/2013,"[Aang, Katara]",True
The Last Air Bender:Alterations: AangLee,https://www.fanfiction.net/s/6244069/1/The-Last-Air-Bender-Alterations-AangLee,Everman the guardian of Taco's,T,English,Romance/Drama,56,267986,261,300,260,8/13/2013,8/16/2010,"Aang, Ty Lee",False
Blue,https://www.fanfiction.net/s/8809829/1/Blue,Lady of the Spirit,T,English,Adventure/Humor,43,210076,263,299,336,9/13/2018,12/18/2012,"Zuko, unknown 9, OC",True
Yesterday Don't Matter,https://www.fanfiction.net/s/11609148/1/Yesterday-Don-t-Matter,YouNeverCanTell,T,English,Romance,45,8781,280,299,375,7/2,11/10/2015,"[Azula, Ty Lee]",False
Unwanted Treasure,https://www.fanfiction.net/s/3985816/1/Unwanted-Treasure,Sailorjj07,M,English,Romance/Drama,13,45799,195,299,127,11/25/2008,1/2/2008,"Katara, Zuko",True
Air and Stone,https://www.fanfiction.net/s/3887644/1/Air-and-Stone,Wolvenfire86,K+,English,Romance/Humor,100,57948,1150,298,100,4/12/2008,11/12/2007,"Aang, Toph",True
Zuko Alone,https://www.fanfiction.net/s/7323811/1/Zuko-Alone,Min Daae,T,English,Hurt/Comfort,1,4063,13,298,49,,8/25/2011,"Aang, Zuko",True
AIM To please,https://www.fanfiction.net/s/5338598/1/AIM-To-please,jennibare,M,English,Romance,7,27509,117,297,111,4/22/2011,8/28/2009,"Katara, Zuko",True
Soft,https://www.fanfiction.net/s/5163450/1/Soft,PenPistola,T,English,Drama,1,4485,94,297,39,,6/24/2009,"Zuko, Toph",True
Never Seen Blue,https://www.fanfiction.net/s/4499030/1/Never-Seen-Blue,SkyWarrior108,T,English,Angst/Romance,15,31771,136,298,95,10/30/2008,8/25/2008,"Azula, Katara",True
Wolf Moon,https://www.fanfiction.net/s/6557806/1/Wolf-Moon,a.mild.groove,M,English,Romance/Humor,3,8955,36,297,70,12/29/2010,12/15/2010,"Katara, Zuko",True
Not My First Choice,https://www.fanfiction.net/s/10717872/1/Not-My-First-Choice,Pharaohs Queen,K+,English,Adventure/Romance,15,26584,250,296,453,11/9/2016,9/26/2014,"[Toph, Zuko]",False
The Beginning of the Daughter of the Sun,https://www.fanfiction.net/s/6389466/1/The-Beginning-of-the-Daughter-of-the-Sun,LadyCeruleanBlue,M,English,Romance/Adventure,21,99023,79,295,117,5/7/2015,10/10/2010,Zuko,True
Empty Spaces,https://www.fanfiction.net/s/4419229/1/Empty-Spaces,Psalm 136,M,English,Romance,1,6161,99,293,37,,7/24/2008,"Zuko, Katara",True
The Price of Falling,https://www.fanfiction.net/s/5982684/1/The-Price-of-Falling,Rast,T,English,Romance,5,39486,236,293,222,2/4/2011,5/19/2010,"Aang, Katara",False
"It's A Long, Long Way",https://www.fanfiction.net/s/2988808/1/It-s-A-Long-Long-Way,glamaphonic,K+,English,Drama,1,1124,61,292,24,,6/13/2006,"Zuko, Aang",True
Passing Over,https://www.fanfiction.net/s/7739190/1/Passing-Over,xoxsillygoose,T,English,Adventure/Romance,51,98714,242,292,142,8/13/2012,1/14/2012,"Aang, OC",True
He's Only A Child,https://www.fanfiction.net/s/8317005/1/He-s-Only-A-Child,sablefalls,T,English,Angst/Family,5,9074,54,292,100,,7/13/2012,"Aang, Azula",True
I'm Always In This Twilight,https://www.fanfiction.net/s/6543799/1/I-m-Always-In-This-Twilight,Like A Dove,T,English,Romance/Drama,1,5200,96,293,31,,12/10/2010,"Katara, Zuko",True
Cold Fire,https://www.fanfiction.net/s/3318200/1/Cold-Fire,CultOfStrawberry,T,English,Romance,1,391,132,292,85,3/29,12/31/2006,"Zuko, Katara",True
Life Collapses,https://www.fanfiction.net/s/6556364/1/Life-Collapses,whitetigerwolf,T,English,,8,12671,180,291,290,5/4/2013,12/14/2010,"Azula, Sokka",False
Sharing is Caring,https://www.fanfiction.net/s/7030174/1/Sharing-is-Caring,SubjectDeltaBubz,M,English,Romance/Drama,18,74910,292,291,211,4/14/2014,5/28/2011,"[Aang, Katara, Toph]",True
Bitter Alliance,https://www.fanfiction.net/s/3075338/1/Bitter-Alliance,looneyluna,M,English,Romance/Angst,38,66780,504,291,228,3/27/2008,7/30/2006,"Zuko, Katara",False
Steam: Zuko x Katara,https://www.fanfiction.net/s/4216980/1/Steam-Zuko-x-Katara,Suzumi Aiko,T,English,Romance/Humor,31,98997,310,290,261,5/16/2015,4/24/2008,"Zuko, Katara",True
Faded Jeans,https://www.fanfiction.net/s/4378929/1/Faded-Jeans,Gray-Rain Skies,T,English,Romance,1,10563,83,290,32,,7/7/2008,"Zuko, Katara",True
Leave Your Spirit,https://www.fanfiction.net/s/9731292/1/Leave-Your-Spirit,Like A Dove,K+,English,Romance/Angst,1,3236,53,290,53,,10/1/2013,"Zuko, Katara",True
p a i n t,https://www.fanfiction.net/s/4944590/1/p-a-i-n-t,lotusunset,T,English,Romance/Mystery,13,47401,243,290,343,4/16/2017,3/24/2009,"[Sokka, Azula] Aang, Toph",False
The Hurt Remains,https://www.fanfiction.net/s/4066123/1/The-Hurt-Remains,Roseblade22,T,English,Romance/Drama,13,60692,312,290,332,10/2/2014,2/10/2008,"Zuko, Katara",False
The Birds And The Bees: M,https://www.fanfiction.net/s/5570553/1/The-Birds-And-The-Bees-M,music-is-luv,M,English,Humor/Romance,1,7120,140,289,29,,12/10/2009,"Aang, Zuko",True
Continuum,https://www.fanfiction.net/s/4421724/1/Continuum,Psalm 136,T,English,Romance/Drama,42,162481,601,289,260,12/9/2010,7/25/2008,"Katara, Zuko",False
Touch and Go,https://www.fanfiction.net/s/6466130/1/Touch-and-Go,Cadence,K,English,Friendship/Humor,1,4631,31,289,54,,11/10/2010,"Zuko, Toph",True
Dreams Of Nightmares Past,https://www.fanfiction.net/s/9843305/1/Dreams-Of-Nightmares-Past,Automail-gHost,T,English,Suspense/Hurt/Comfort,1,6874,153,289,393,,11/12/2013,"Zuko, unknown 9",False
Teaching A Rock To Fly (石學會飛),https://www.fanfiction.net/s/12521730/1/Teaching-A-Rock-To-Fly-%E7%9F%B3%E5%AD%B8%E6%9C%83%E9%A3%9B,calcu22,T,English,Adventure/Humor,6,16807,92,290,458,1/3,6/7/2017,"Aang, Zuko, OC",False
In Darkness,https://www.fanfiction.net/s/6009658/1/In-Darkness,prepare4trouble,K+,English,Adventure/Angst,18,45747,186,289,112,8/19/2010,5/30/2010,Zuko,True
Flattery,https://www.fanfiction.net/s/2817216/1/Flattery,Jakia,M,English,Romance,1,2485,118,288,40,,2/24/2006,"Zuko, Katara",True
Eyes Open Wide,https://www.fanfiction.net/s/4933232/1/Eyes-Open-Wide,The Quiller,T,English,Tragedy/Friendship,1,4696,46,288,37,,3/19/2009,Zuko,True
Birth by Flame,https://www.fanfiction.net/s/11787436/1/Birth-by-Flame,Teloch,M,English,Romance/Drama,6,17338,40,288,178,4/4/2016,2/13/2016,"[Zuko, Ty Lee, Mai, Azula]",True
Scarring and Brotherhood,https://www.fanfiction.net/s/5655648/1/Scarring-and-Brotherhood,Written Parody,K+,English,Friendship,1,1533,51,288,36,,1/10/2010,"Toph, Zuko",True
Past the End's Reach,https://www.fanfiction.net/s/4155330/1/Past-the-End-s-Reach,scarredBYchaos,T,English,Romance/Adventure,38,133135,985,287,304,12/17/2014,3/25/2008,"Zuko, Katara",False
Shattered,https://www.fanfiction.net/s/2703657/1/Shattered,Magnusrae,T,English,Drama,25,67998,251,287,68,3/15/2006,12/15/2005,Zuko,True
The Gentleman of Weapons,https://www.fanfiction.net/s/5187842/1/The-Gentleman-of-Weapons,Menamebephil,T,English,Angst/Adventure,46,142380,352,287,291,6/21/2018,7/3/2009,"Piandao, Azula",False
War for Peace,https://www.fanfiction.net/s/12377557/1/War-for-Peace,Shadow0Fire,T,English,Adventure/Romance,9,136553,170,287,353,4/5,2/22/2017,"Mai, Ty Lee, Azula, OC",False
Secure,https://www.fanfiction.net/s/5644520/1/Secure,Dreaming-Of-A-Nightmare,M,English,Hurt/Comfort/Romance,3,13346,38,288,38,,1/5/2010,"Aang, Zuko",True
And She Watches the Fire,https://www.fanfiction.net/s/3261153/1/And-She-Watches-the-Fire,AJ Rayne,T,English,Angst/Drama,2,4110,82,288,42,,11/28/2006,"Katara, Zuko",True
Disclosure,https://www.fanfiction.net/s/3837799/1/Disclosure,glamaphonic,T,English,Humor/Romance,1,4077,69,285,33,,10/15/2007,"Zuko, Mai",True
Waves of the Water,https://www.fanfiction.net/s/2710457/1/Waves-of-the-Water,High Queen of Dreams,K+,English,Adventure/Romance,24,170950,119,285,116,8/16/2006,12/19/2005,,True
Better Left Unsaid,https://www.fanfiction.net/s/5896841/1/Better-Left-Unsaid,AzarDarkstar,K+,English,Family/Drama,1,334,34,284,33,,4/14/2010,"Zuko, Iroh",True
His and Her Circumstances,https://www.fanfiction.net/s/6217166/1/His-and-Her-Circumstances,Lavanya Six,T,English,Drama/Angst,3,13017,45,284,57,,8/7/2010,"Mai, Zuko",True
Things Fall Apart,https://www.fanfiction.net/s/4645500/1/Things-Fall-Apart,MoonClaimed,K+,English,Humor/Parody,12,18053,326,284,163,8/12/2011,11/9/2008,"Zuko, Katara, unknown 9",True
CHOICES,https://www.fanfiction.net/s/9980708/1/CHOICES,3H,K,English,Angst/Romance,16,79806,256,284,369,5/10/2017,1/1/2014,"[Sokka, Toph]",False
Fate Is Cruel,https://www.fanfiction.net/s/10751220/1/Fate-Is-Cruel,BeyondTheSea13,M,English,Adventure/Romance,36,211379,478,284,287,8/27/2015,10/11/2014,"[Azula, Ty Lee]",True
The Fun and Perky Warrior's Wolf Tail,https://www.fanfiction.net/s/5628400/1/The-Fun-and-Perky-Warrior-s-Wolf-Tail,Lavanya Six,T,English,,93,89791,690,284,183,1/28/2013,12/31/2009,"Toph, Suki",False
Cooties,https://www.fanfiction.net/s/4287223/1/Cooties,Rebirth of the Phoenix,T,English,Humor/Romance,1,1648,86,282,30,,5/29/2008,"Katara, Zuko",True
Jaded Petals,https://www.fanfiction.net/s/9554569/1/Jaded-Petals,Ocky-chan,T,English,Romance/Adventure,19,110115,121,282,174,11/9/2013,8/1/2013,"Zuko, Iroh, OC",True
The Last Avatar,https://www.fanfiction.net/s/11997535/1/The-Last-Avatar,Tritone,T,English,Adventure/Family,12,38519,121,282,369,1/8/2018,6/13/2016,"Zuko, Iroh, Azula",False
Tremors,https://www.fanfiction.net/s/10866380/1/Tremors,CuriosityRedux,M,English,Romance/Friendship,1,11328,43,282,44,,12/2/2014,,False
The Bonds We Make,https://www.fanfiction.net/s/5982594/1/The-Bonds-We-Make,twilightprincess219,T,English,Romance/Adventure,43,104711,695,282,259,7/16/2013,5/19/2010,Zuko,False
Destiny Altered,https://www.fanfiction.net/s/4465729/1/Destiny-Altered,SkyWarrior108,T,English,Hurt/Comfort/Romance,20,47286,141,281,72,10/1/2008,8/11/2008,"Azula, Katara",True
No Turning Back,https://www.fanfiction.net/s/4696415/1/No-Turning-Back,Keelywolfe,M,English,Angst,21,56115,207,281,72,3/9/2009,12/4/2008,"Zuko, Sokka",True
Book One: Water & Beginnings,https://www.fanfiction.net/s/11735326/1/Book-One-Water-Beginnings,So Tell Me About Yourself,T,English,Adventure,18,85397,82,281,184,8/30/2018,1/15/2016,"Zuko, OC",True
Ensorcelled,https://www.fanfiction.net/s/6753645/1/Ensorcelled,cupid-painted-blind,T,English,Romance,1,13009,49,281,40,,2/17/2011,"Katara, Zuko",True
Slumber My Darling,https://www.fanfiction.net/s/6200018/1/Slumber-My-Darling,auri mynonys,K+,English,Romance/Family,1,9776,64,281,38,,8/2/2010,"Iroh, Toph",False
brave soldier girl comes marching home,https://www.fanfiction.net/s/4844985/1/brave-soldier-girl-comes-marching-home,Serendipity1,K+,English,Family,1,3975,44,280,27,,2/6/2009,Toph,True
It's Funny What Fate Throws You,https://www.fanfiction.net/s/2651942/1/It-s-Funny-What-Fate-Throws-You,Usagi Youkai,M,English,Romance,16,26745,358,280,283,4/26/2006,11/8/2005,"Sokka, Zuko",False
How I Survived Being the Avatar,https://www.fanfiction.net/s/6533150/1/How-I-Survived-Being-the-Avatar,ShadowFAIT,T,English,Adventure/Humor,21,71418,231,280,309,1/1/2017,12/5/2010,"Aang, Zuko, OC",False
Melting Fire,https://www.fanfiction.net/s/11387357/1/Melting-Fire,Gbuggie,T,English,Angst/Drama,1,4977,13,279,68,,7/17/2015,"Zuko, Katara",True
Coming Together,https://www.fanfiction.net/s/9655098/1/Coming-Together,BaSingTei,T,English,Romance/Adventure,20,71686,245,279,218,1/23/2016,9/2/2013,"[Aang, Katara]",True
Volatile,https://www.fanfiction.net/s/5415125/1/Volatile,alexb49,M,English,Humor,10,35838,117,278,83,7/16/2010,10/1/2009,"Sokka, Zuko",True
Gratifying The Dragon,https://www.fanfiction.net/s/8850707/1/Gratifying-The-Dragon,Dragon Down South,M,English,Drama/Romance,8,18745,35,278,214,8/20/2013,12/29/2012,Azula,False
A Simple Request,https://www.fanfiction.net/s/3360513/1/A-Simple-Request,crosseyedbutterfly,T,English,Romance,1,15807,76,278,33,,1/25/2007,"Toph, Zuko",True
It Kills Him,https://www.fanfiction.net/s/3776618/1/It-Kills-Him,Lyralocke,K+,English,Romance,1,1398,53,278,25,,9/9/2007,"Aang, Katara",True
Embrace,https://www.fanfiction.net/s/6182279/1/Embrace,alexb49,M,English,Angst,1,3078,49,277,52,,7/27/2010,"Katara, Zuko",True
It Started at the Summer Palace,https://www.fanfiction.net/s/10278865/1/It-Started-at-the-Summer-Palace,ohmyyyfanfiction,M,English,Romance/Angst,45,137558,187,277,212,8/17/2015,4/17/2014,"Zuko, Katara",True
To break the cycle,https://www.fanfiction.net/s/9188775/1/To-break-the-cycle,marinenerd01,M,English,Adventure,47,133328,197,278,156,2/18/2014,4/10/2013,"[Azula, OC]",True
Quiet Shadowed Places,https://www.fanfiction.net/s/5750764/1/Quiet-Shadowed-Places,attackfishscales,T,English,Drama/Angst,2,2562,26,277,130,2/20/2010,2/15/2010,"Zuko, Jet",True
Fire and Ice,https://www.fanfiction.net/s/6035904/1/Fire-and-Ice,KatsPaws1294,M,English,Angst/Romance,90,142537,1128,276,263,7/29/2012,6/8/2010,"Katara, Zuko",False
Crossing The Line,https://www.fanfiction.net/s/5470720/1/Crossing-The-Line,thatcoolkids96,M,English,Angst/Hurt/Comfort,25,63782,333,276,287,5/28/2011,10/27/2009,"Katara, Zuko",False
Basic Long Division,https://www.fanfiction.net/s/3065418/1/Basic-Long-Division,Jade Sabre,K,English,Humor,1,1624,91,277,24,,7/25/2006,"Zuko, Toph",True
Bonding,https://www.fanfiction.net/s/4682318/1/Bonding,Yemi Hikari,K,English,Friendship/Hurt/Comfort,1,1721,24,276,63,,11/28/2008,"Sokka, Zuko, Hakoda",True
Drinking Tea and Waiting,https://www.fanfiction.net/s/6676043/1/Drinking-Tea-and-Waiting,Kimberly T,T,English,Drama,2,2612,50,276,57,1/24/2014,1/22/2011,"Iroh, Zuko",True
Runaway,https://www.fanfiction.net/s/12286889/1/Runaway,Fake Ginge,T,English,Friendship/Family,8,17765,134,276,447,8/31/2018,12/23/2016,"Sokka, Zuko, Katara, Hakoda",False
The Place of the Fire Lord,https://www.fanfiction.net/s/7138528/1/The-Place-of-the-Fire-Lord,me38242,M,English,Romance/Drama,4,12653,114,275,129,12/7/2011,7/2/2011,"Zuko, Katara",True
Cog In The Machine,https://www.fanfiction.net/s/3289640/1/Cog-In-The-Machine,ardy1,T,English,Adventure/Humor,23,68376,275,276,261,8/9/2010,12/14/2006,Sokka,False
Gods & Monsters,https://www.fanfiction.net/s/13090694/1/Gods-Monsters,the savage barbie,T,English,Romance/Adventure,8,16210,134,275,337,3/16,10/11/2018,"[Azula, Ty Lee] [Mai, Katara]",False
Didn't See That Coming,https://www.fanfiction.net/s/2731153/1/Didn-t-See-That-Coming,Rebirth of the Phoenix,T,English,Romance/Adventure,19,59554,493,276,99,7/13/2006,1/1/2006,"Katara, Zuko",True
Bent,https://www.fanfiction.net/s/2683203/1/Bent,Vicki So,T,English,Drama,15,40009,273,275,69,12/12/2005,11/30/2005,"Zuko, Sokka",True
Fire's Ice,https://www.fanfiction.net/s/3406799/1/Fire-s-Ice,BlueArcticWolf,T,English,Romance/Drama,23,36813,313,274,118,7/23/2008,2/21/2007,"Katara, Zuko",True
Four Elements High,https://www.fanfiction.net/s/6862970/1/Four-Elements-High,SubjectDeltaBubz,M,English,Romance/Humor,15,96270,309,274,125,2/8/2015,3/31/2011,"[Aang, Katara] [Sokka, Suki]",True
World Tour,https://www.fanfiction.net/s/4199578/1/World-Tour,marvel26,T,English,Romance/Humor,9,101426,151,274,116,6/16/2009,4/15/2008,"Aang, Toph",True
Catching Sparks,https://www.fanfiction.net/s/12875442/1/Catching-Sparks,mercy-angel-09,T,English,Romance/Friendship,18,59499,162,274,240,7/17/2018,3/20/2018,"[Zuko, Katara]",True
Pros and Cons,https://www.fanfiction.net/s/3695681/1/Pros-and-Cons,xcgirl08,K,English,Romance/Humor,1,1004,78,273,32,,8/1/2007,"Aang, Toph",True
Ever After,https://www.fanfiction.net/s/5109522/1/Ever-After,ignorethisaccount123,M,English,Angst/Romance,4,22354,119,273,52,7/3/2009,6/3/2009,"Zuko, Katara",True
The New Prophet: Book One: Water,https://www.fanfiction.net/s/8632077/1/The-New-Prophet-Book-One-Water,Nightwhat,T,English,Romance/Drama,20,76107,119,274,167,8/14/2013,10/21/2012,"Zuko, OC",True
Blessed Transgressors,https://www.fanfiction.net/s/11226634/1/Blessed-Transgressors,delictabledahlia,M,English,Romance/Drama,8,16041,135,273,370,8/22/2015,5/3/2015,"[Azula, Zuko] Ty Lee, Ozai",False
Another option,https://www.fanfiction.net/s/6459369/1/Another-option,Kahuna Burger,T,English,Romance,10,17057,104,272,86,1/11/2011,11/7/2010,"[Zuko, Sokka]",True
Just Desserts,https://www.fanfiction.net/s/3247029/1/Just-Desserts,Juxtaposie,M,English,Romance/Humor,1,3976,84,271,32,,11/15/2006,"Aang, Katara",True
Between Heaven and Earth,https://www.fanfiction.net/s/5605139/1/Between-Heaven-and-Earth,roca dos,K+,English,Romance/Friendship,27,97054,353,271,369,11/10/2014,12/23/2009,"Aang, Toph",False
Opheliac,https://www.fanfiction.net/s/6075944/1/Opheliac,cupid-painted-blind,M,English,Drama,19,41445,324,271,291,3/6/2011,6/22/2010,"Azula, Sokka",False
A Thousand Words And Then Some,https://www.fanfiction.net/s/6043773/1/A-Thousand-Words-And-Then-Some,IFeltHope44,K+,English,Friendship/Romance,1,2243,71,270,37,,6/11/2010,"Zuko, Katara",True
Turtleducks,https://www.fanfiction.net/s/7146219/1/Turtleducks,Violettree,K,English,Humor/Family,2,1640,64,270,55,7/6/2011,7/4/2011,"Zuko, Toph",True
A Koi called Bird,https://www.fanfiction.net/s/2772278/1/A-Koi-called-Bird,FyreFlower,M,English,Angst/Romance,33,72601,548,270,90,10/6/2006,1/27/2006,"Zuko, Zhao",True
