name,link,author,rating,language,genre,chapters,words,reviews,favs,follows,updated,published,characters,complete
The Legacy of the Headband,https://www.fanfiction.net/s/6026583/1/The-Legacy-of-the-Headband,Golden Solidus,T,English,Drama,23,43278,348,387,439,12/23/2015,6/5/2010,"Kuzon, On Ji, Hide, Shoji",False
Storytime at the Summer Cabin,https://www.fanfiction.net/s/5862325/1/Storytime-at-the-Summer-Cabin,Evilnor,K+,English,Drama/Humor,5,9155,53,386,85,4/6/2010,4/1/2010,Zuko,True
Duty,https://www.fanfiction.net/s/3559662/1/Duty,Nandireya,T,English,Romance/Adventure,10,26816,274,385,400,6/24/2011,5/27/2007,"Zuko, Yue",False
Side by Side,https://www.fanfiction.net/s/7395305/1/Side-by-Side,Ocky-chan,T,English,Adventure/Romance,15,107680,89,385,216,6/11/2012,9/19/2011,"Zuko, OC",True
The Worst Prisoner: The Element of Change,https://www.fanfiction.net/s/12908202/1/The-Worst-Prisoner-The-Element-of-Change,emletish,T,English,Humor/Romance,16,160440,343,385,288,9/16/2018,4/18/2018,"Aang, Sokka, Zuko, Katara",True
"Burned, But Not By Fire",https://www.fanfiction.net/s/2787012/1/Burned-But-Not-By-Fire,Usagi Youkai,M,English,Angst/Hurt/Comfort,10,21084,503,385,449,12/13/2007,2/5/2006,"Sokka, Zuko",False
The Road They Were Destined to Take,https://www.fanfiction.net/s/3131749/1/The-Road-They-Were-Destined-to-Take,OveractiveImagination39,T,English,Romance/Drama,22,73309,307,383,126,11/28/2006,8/30/2006,"Zuko, Katara",True
Merits,https://www.fanfiction.net/s/4016930/1/Merits,moor,M,English,Romance/Humor,54,175241,716,381,452,9/30/2015,1/17/2008,"Katara, Zuko",False
With Small Steps,https://www.fanfiction.net/s/12326336/1/With-Small-Steps,Boogum,M,English,Drama/Romance,16,75967,313,381,299,10/21/2017,1/17/2017,"[Katara, Zuko] Iroh",True
When the Truth Gets Out,https://www.fanfiction.net/s/10527751/1/When-the-Truth-Gets-Out,ncfan,T,English,Friendship,1,5368,23,380,47,,7/11/2014,"Zuko, unknown 9, Ozai",True
Avatar: Last Firebender,https://www.fanfiction.net/s/4586900/1/Avatar-Last-Firebender,clockworkchaos,T,English,Adventure,17,126807,278,380,345,12/21/2009,10/10/2008,Azula,False
Sense and Sensibility,https://www.fanfiction.net/s/3448393/1/Sense-and-Sensibility,Kirihana,T,English,Humor/Romance,16,32446,498,377,150,12/10/2007,3/19/2007,"Zuko, Katara",True
I See Fire,https://www.fanfiction.net/s/11279773/1/I-See-Fire,MissScarlettJ,T,English,Friendship/Humor,4,12097,68,376,448,10/16/2015,5/29/2015,"Iroh, Jet, OC",False
